,year,title,isBestSelling,subcategory
0,2019,The Home Edit: A Guide to Organizing and Realizing Your House Goals (Includes Refrigerator Labels),True,Do-It-Yourself Home Improvement
1,2019,How to Be an Antiracist,False,
2,2019,"Publication Manual of the American Psychological Association: 7th Edition, 2020 Copyright",True,Psychology
3,2019,Official SAT Study Guide 2020 Edition,True,SAT Test Guides
4,2019,The Little Old Lady Who Was Not Afraid of Anything,True,Children's Short Story Collections
5,2019,Saunders Comprehensive Review for the NCLEX-RN Examination,True,Nursing Reviews & Study Guides
6,2019,"The Boy, the Mole, the Fox and the Horse",True,Literary Graphic Novels
7,2019,How to Catch a Unicorn,True,Children's Horse Books
8,2019,The Silent Patient,False,
9,2019,Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,True,Children's Art Techniques
10,2019,Who Is Ruth Bader Ginsburg? (Who Was?),True,Children's Women Biographies
11,2019,"Half Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook",True,Natural Food Cooking
12,2019,Paint by Sticker Kids: Halloween: Create 10 Pictures One Sticker at a Time! Includes Glow-in-the-Dark Stickers,True,Seasonal Crafts
13,2019,Kindergarten writing paper with lines for ABC kids: 120 Blank handwriting practice paper with dotted lines,True,Children's Grammar Books
14,2019,"Trace Letters: Alphabet Handwriting Practice workbook for kids: Preschool writing Workbook with Sight words for Pre K, Kindergarten and Kids Ages 3-5. ABC print handwriting book",True,Health Teaching Materials
15,2019,"Learn to Read: A Magical Sight Words and Phonics Activity Workbook for Beginning Readers Ages 5-7: Reading Made Easy | Preschool, Kindergarten and 1st Grade",True,Phonetics & Phonics Reference
16,2019,The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal),False,
17,2019,Trapped in a Video Game: The Complete Series,True,Children's Computer Software Books
18,2019,Dog Man: The Supa Epic Collection: From the Creator of Captain Underpants (Dog Man #1-6 Boxed Set),False,
19,2019,A Is for Awesome!: 23 Iconic Women Who Changed the World,False,
20,2019,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",False,
21,2019,"Preschool Math Workbook for Toddlers Ages 2-4: Beginner Math Preschool Learning Book with Number Tracing and Matching Activities for 2, 3 and 4 year olds and kindergarten prep",True,Popular & Elementary Arithmetic
22,2019,"Good Night, Little Blue Truck",True,Children's Frog & Toad Books
23,2019,The Giver of Stars: A Novel,False,
24,2019,Beautiful Boards: 50 Amazing Snack Boards for Any Occasion,True,Appetizer Cooking
25,2019,Born a Crime: Stories from a South African Childhood,True,Lawyers & Criminals Humor
26,2019,What Should Darla Do? Featuring the Power to Choose,True,Children's Philosophy Books
27,2019,So You Want to Talk About Race,True,Minority Demographic Studies
28,2019,Human Body Activity Book for Kids: Hands-On Fun for Grades K-3,True,Children's Personal Hygiene Books
29,2019,"The Defined Dish: Whole30 Endorsed, Healthy and Wholesome Weeknight Recipes",True,Paleo Diet
30,2019,The Overstory: A Novel,False,
31,2019,Little Fires Everywhere: A Novel,False,
32,2019,The Heroes of Olympus Paperback Boxed Set (10th Anniversary Edition),False,
33,2019,The Book Woman of Troublesome Creek: A Novel,True,Southern Fiction
34,2019,The Skinnytaste Air Fryer Cookbook: The 75 Best Healthy Recipes for Your Air Fryer,False,
35,2019,Pax,False,
36,2019,GED Test Prep Plus 2020: 2 Practice Tests + Proven Strategies + Online (Kaplan Test Prep),True,GED Test Guides
37,2019,The Blue Zones Kitchen: 100 Recipes to Live to 100,False,
38,2019,"It's Pumpkin Day, Mouse! (If You Give...)",True,Children's Mouse & Rodent Books
39,2019,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,False,
40,2019,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),False,
41,2019,Wherever You Go,True,Children's Country Life Books
42,2019,"Scissor Skills Preschool Workbook for Kids: A Fun Cutting Practice Activity Book for Toddlers and Kids ages 3-5: Scissor Practice for Preschool ... 40 Pages of Fun Animals, Shapes and Patterns",True,Children's Jewelry Crafts
43,2019,"My Best Toddler Coloring Book - Fun with Numbers, Letters, Shapes, Colors, Animals: Big Activity Workbook for Toddlers & Kids",True,Children's Canada Books
44,2019,Marvel - Spider-man Me Reader Electronic Reader and 8 Sound Book Library - PI Kids,True,Children's Media Tie-In Comics
45,2019,The Complete Baking Book for Young Chefs,False,
46,2019,The Pigeon HAS to Go to School!,False,
47,2019,Mermaids Activity Book (Scratch and Sparkle),False,
48,2019,Dune: Deluxe Edition,False,
49,2019,Cursive Handwriting Workbook For Kids: Cursive for beginners workbook. Cursive letter tracing book. Cursive writing practice book to learn writing in cursive (Beginning cursive handwriting workbooks),True,Children's ESL Books
50,2019,New Kid,False,
51,2019,The Big Book of Silly Jokes for Kids: 800+ Jokes!,True,Children's Joke & Riddle Books
52,2019,"The Ultimate Guide to Modern Calligraphy & Hand Lettering for Beginners: Learn to Letter: A Hand Lettering Workbook with Tips, Techniques, Practice Pages, and Projects",True,Typography
53,2019,Modern Witch Tarot Deck,False,
54,2019,I Survived: Ten Thrilling Stories (Boxed Set),False,
55,2019,Beautifully Organized: A Guide to Function and Style in Your Home,True,Small Homes & Cottages
56,2019,The Baby-Sitters Club Graphic Novels #1-7: A Graphix Collection: Full-Color Edition (The Baby-Sitters Club Graphix),False,
57,2019,Hair Love,False,
58,2019,The Dutch House: A Novel,False,
59,2019,The 3 Minute Gratitude Journal for Kids: A Journal to Teach Children to Practice Gratitude and Mindfulness,True,Children's Diary Books
60,2019,Becoming Supernatural: How Common People Are Doing the Uncommon,True,Ghosts & Hauntings
61,2019,"Sketch Book: Notebook for Drawing, Writing, Painting, Sketching or Doodling, 120 Pages, 8.5x11 (Premium Abstract Cover vol.4)",True,Applique
62,2019,"I Spy Halloween Book for Kids Ages 2-5: A Fun Activity Spooky Scary Things & Other Cute Stuff Coloring and Guessing Game For Little Kids, Toddler and Preschool",False,
63,2019,When We Believed in Mermaids: A Novel,False,
64,2019,"Advanced Placement United States History, 2020 Edition",False,
65,2019,Light Seer's Tarot: A 78-Card Deck & Guidebook,False,
66,2019,Handwriting Practice Paper: 100 Blank Writing Pages - For Students Learning to Write Letters,False,
67,2019,The Super Tiny Ghost,False,
68,2019,"The Madness of Crowds: Gender, Race and Identity",True,Cultural Policy
69,2019,The Montessori Toddler: A Parent's Guide to Raising a Curious and Responsible Human Being,True,Experimental Education Methods
70,2019,"The Ultimate Instant Pot cookbook: Foolproof, Quick & Easy 800 Instant Pot Recipes for Beginners and Advanced Users (Pressure Cooker Recipes)",True,Wine & Spirits
71,2019,"The Dialectical Behavior Therapy Skills Workbook: Practical DBT Exercises for Learning Mindfulness, Interpersonal Effectiveness, Emotion Regulation, ... (A New Harbinger Self-Help Workbook)",True,Personality Disorders
72,2019,"The Tyrant's Tomb (The Trials of Apollo, Book Four) (Trials of Apollo, 4)",False,
73,2019,Architectural Digest at 100: A Century of Style,True,Photography
74,2019,"Avatar, The Last Airbender: The Rise of Kyoshi (The Kyoshi Novels)",True,"Teen & Young Adult TV, Movie, Video Game Adaptations"
75,2019,The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,False,
76,2019,Pretty Simple Lettering: Modern Calligraphy & Hand Lettering for Beginners: A Step by Step Guide to Beautiful Hand Lettering & Brush Pen Calligraphy Design,True,Handwriting Analysis Self-Help
77,2019,Scary Stories to Tell in the Dark: Three Books to Chill Your Bones: All 3 Scary Stories Books with the Original Art!,True,Urban Legends Humor
78,2019,"Cook Once, Eat All Week: 26 Weeks of Gluten-Free, Affordable Meal Prep to Preserve Your Time & Sanity",True,Professional High Quantity Cooking
79,2019,"Humble Math - 100 Days of Timed Tests: Multiplication: Grades 3-5, Math Drills, Digits 0-12, Reproducible Practice Problems",False,
80,2019,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",True,Python Programming
81,2019,A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,True,Stock Market Investing
82,2019,What Unites Us: Reflections on Patriotism,False,
83,2019,A Gentleman in Moscow: A Novel,False,
84,2019,"Merriam-Webster Children's Dictionary, New Edition: Features 3,000 Photographs and Illustrations",False,
85,2019,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",False,
86,2019,"Concise Guide to APA Style: Seventh Edition (newest, 2020 copyright)",True,Science Bibliographies & Indexes
87,2019,"I Will Teach You to Be Rich, Second Edition: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works",False,
88,2019,Wrecking Ball (Diary of a Wimpy Kid Book 14),False,
89,2019,"Parable of the Sower (Parable, 1)",True,African American Science Fiction
90,2019,"Ugly’s Electrical References, 2020 Edition",True,Electrical Home Improvement
91,2019,"Wings of Fire Box Set, The Jade Mountain Prophecy (Books 6-10)",False,
92,2019,"The Backyard Bug Book for Kids: Storybook, Insect Facts, and Activities",True,Children's Science Experiment Books
93,2019,The Great Alone: A Novel,False,
94,2019,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,True,Movie Industry
95,2019,Advanced Placement World History: Modern,True,Teen & Young Adult Advanced Placement Study Aids
96,2019,Awesome Engineering Activities for Kids: 50+ Exciting STEAM Projects to Design and Build (Awesome STEAM Activities for Kids),True,Children's Heavy Machinery Books
97,2019,"Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed",False,
98,2019,Dumpty: The Age of Trump in Verse,False,
99,2019,Pick a Pumpkin,False,
100,2019,Old Macdonald's Farm (Poke-a-dot),False,
101,2019,I Spy Spooky Night: A Book of Picture Riddles,False,
102,2019,"Tracing Letters and Numbers : 200 Practice Pages: Workbook for Preschool, Kindergarten, and Kids Ages 3-5",False,
103,2019,"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",False,
104,2019,The Boys Omnibus Vol. 1 TPB,True,Media Tie-In Graphic Novels
105,2019,Be the Bridge: Pursuing God's Heart for Racial Reconciliation,False,
106,2019,The Woman in the Window: A Novel,False,
107,2019,Press Here,True,
108,2019,Such a Fun Age,False,
109,2019,The Trials of Apollo 3-Book Paperback Boxed Set,False,
110,2019,Nursing Diagnosis Handbook: An Evidence-Based Guide to Planning Care,True,Nursing Assessment
111,2019,Anxious for Nothing: Finding Calm in a Chaotic World,False,
112,2019,The Dancing Girls: An absolutely gripping crime thriller with nail-biting suspense (Detective Jo Fournier),False,
113,2019,Harry Potter Crochet (Crochet Kits),True,Crocheting
114,2019,The Goodnight Train Rolls On! (board book),True,Children's Trains Books
115,2019,Binging with Babish: 100 Recipes Recreated from Your Favorite Movies and TV Shows,False,
116,2019,"Buy, Rehab, Rent, Refinance, Repeat: The BRRRR Rental Property Investment Strategy Made Simple",False,
117,2019,"Marvel Encyclopedia, New Edition",True,Literature Encyclopedias
118,2019,BLOODY ALPHABET: The Scariest Serial Killers Coloring Book. A True Crime Adult Gift - Full of Famous Murderers. For Adults Only. (True Crime Gifts),True,Comics & Manga Coloring Books for Grown-Ups
119,2019,National Electrical Code 2020,True,Electrical & Electronics
120,2019,"CompTIA A+ Certification All-in-One Exam Guide, Tenth Edition (Exams 220-1001 & 220-1002)",True,PC Hardware
121,2019,"Funster 1,000+ Sudoku Puzzles Easy to Hard: Sudoku puzzle book for adults",True,Math Games
122,2019,"School Zone - Get Ready Flash Cards Addition & Subtraction 2 Pack - Ages 6 to 7, 1st Grade, 2nd Grade, Addition, Subtraction, Early Math, Problem-Solving, and More",False,
123,2019,Discovery: Rumble with the Dinosaurs! (10-Button Sound Books),False,
124,2019,Guess How Much I Love You,False,
125,2019,Before We Were Yours: A Novel,False,
126,2019,"The Jesus Bible Artist Edition, NIV, Leathersoft, Multi-color/Teal, Comfort Print",True,Christology
127,2019,Who's in the Ocean? (Poke-a-Dot!),False,
128,2019,Talking to Strangers: What We Should Know about the People We Don't Know,True,Communication Reference
